Key,Value
אושר עד,מזון
רמי לוי,מזון
דלק,דלק
ביטוח,ביטוח
אוכל,מזון
כושר,כושר
נתיב החסד,מזון
עיתון,תקשורת
חסד,תרומה
סופר,מזון
בר כל,מזון
סופרמרקט,מזון
גז,חשבונות
עמותה,תרומה
קורס,לימודים
קונדיטור,מזון
פיצוחים,מזון
טמבור,ציוד
בזק,תקשורת
כלבו,ציוד
כל בו,ציוד
קונדיטוריה,מזון
פלאפון,תקשורת
צדקה,תרומה
דקים,ציוד
בורסה,בורסה
גלישה,תקשורת
כלי עבודה,ציוד
חקלאית,מזון
פירות,מזון
צילום,שונות
בניית,ציוד
בגדים,ביגוד
ועד בית,חשבונות
חד פעמי,ציוד
צרכניית,מזון
צרכנייה,מזון
paybox,בנק
פנגו,רכב
מכוניות,רכב
חומרי בניין,ציוד
בגדי,ביגוד
קפה,פנאי
פנאי,פנאי
מסעדה,פנאי
כביש 6,תחבורה
מוצרי חשמל,ציוד
בריאות,רפואי
מעדנים,מזון
מגה,מזון
נטלי,רפואי
מים,חשבונות
